この際 委員の異動について御報告 いたします , おはようございます
お答え申し上げます , いや いや それは 四月 二十九日 の 時点で は 統一 的なもの が 確認 されて いなかった から ばらばら な 対応 だった わけですよね
お答え申し上げます , 五月 の 十二日 に や られた ということで 各 社 からは 良 かった ということ なんですけど この間 五 月九日 の質疑 で 私 申し上げたように それを それまで やって いなかった ことが 私は 実は 大 問題だ と思っておりまして 今回 五月 の 十二日 に やって いただいて 今のような 対応 で 北朝鮮の ミサイル 発射 は 言 語 道 断 ですが 十四日 の問題 については 事業者が 各 社 そ ろ った 対応を していただいた ことについては 国交省 の 御努力 を 多 と したいと思います
 国民の生命 財産 を 守り 抜 く ためには 国民 に対して 迅速 かつ 適切に 情報 伝達 を行うこと は 極めて重要 でありまして 政府としては ミサイル が 我が国 に 飛 来 する 可能性がある 場合には J ア ラ ート を活用して 直ちに 国民に 情報を 伝達 する こととしております , それが 周知徹底 できるかどうか は よく 分かりません が 御努力 いただいている ことは 多 と したいと思います
お尋ねの 車 列 の問題 ですとか 参 集 方法 について でありますが これは 内閣総理大臣 の 警護 に関する ことで もある ため お答え することは 差し控えさせていただきたい と思います , 万全を期 しておられる と思うんですが 実は それは 私 邸 に いる から そのこと の 危機管理 上 警察 の対応 は 表明 できない という話 になる わけです
まず 申し上げ なければならない のは 内閣総理大臣 は 所在 場所 にかかわらず 常に 緊急事態 に 対応 できるように 危機管理 の 態 勢 を しい ております , そういう 開 き 直 り が 問題 だと思いますよ
 三 点 の 指示 であります , そんな 指示 どの 総理大臣 でも 出し ますよ 第一 報 を もらった ら
今 申し上げたとおり 大切なこと は 危機 に際して 適 時 適切な 判断 を行う そして 事態 を マネー ジ することができる かどうかということ だというふうに思っています , いいですか マネー ジ できるかどうか は 結果 なんです
この 総理 指示 三 点 の 指示 は あの 当 日 出された ものであります が この 危機管理 対応 について 常に 万全を期 していくという ことが重要 でありまして その 態 勢 を 今 しっかり 取って いると 常に 万全 の 態 勢 を取って いる ということであります , 万全 の 態 勢 を取る なんて 当たり前 の話 じゃないですか
先ほど 申し上げましたとおり 今般 の 弾道ミサイル の 発射 の対応 についても 総理は 発射 後 直ちに 秘書官 から 第一 報 を受けて 必要な 指示 を行っております , そんな のは さっき の答弁 ですよ
私 の立場 で 御質問にお答え すべき なのか よく分からない ところ も ございますけれども 危機管理 のとき の その 本質 というのは 先ほど 野 上 副長官 御答弁 になられました けれども その 機 に際して 適 時 適切な 判断を これは いろんな ところに 総理 また 我々の 防衛大臣 もそうですけれども おられる とき がございますので どこに いても 適 時 適切な 情報を 入手 をして 判断をする その 態 勢 を 整え ること それが 本質 なんだ というふうに思っております , そのとおり です
 公 邸 に 居住 する か否か にかかわらず 政府の 危機管理 については 遺 漏 のない よう 万全を期 している ということであります , 答え なきゃ
今 ほど も 申し上げましたが 内閣総理大臣 は 所在 場所 にかかわらず 常に 緊急事態 に 対応 できるように 危機管理 の 態 勢 をし いて おりまして 大切なこと は リー ダー が 適 時 適切な 判断 を行って 事態 を マネー ジ できる ことだ ということであります , さっき の答弁 と 若干 ト ー ン が違う んですが しかしながら この問題 は 私 問題 ある と思いますよ
 野 上 内閣 官房副長官 御退席いただいて結構で ございます , 先 月 の 十八日 報道 によれば ある 種 の 外交 筋 でございますが 北朝鮮 が 具体的な 日 付 を示して 核実験 を行う と 中国 に 通告 していた と
 防衛大臣 まだ よろしいですか , 防衛大臣 同様の 答弁 ですよね
 報道 は 承知をいたしております が 核兵器 開発 の状況 北朝鮮 の動向 については 防衛省 として 平 素 から 情報収集 分析 に努めて おりますが 個々の 具体的な 情報 について 事柄 の 性質 上 お答え することを 差し控えたいと思います , 報道 では 中国 は その 情報を 通告 されてきた 情報を アメリカ に 伝え た ということですが まあ そのこと についても お答え いただけない と思いますので あえて 申し上げる と アメリカ は その 情報を 日本 にも 伝え た そして 日本 も 警戒 態 勢 が 取 られた と
 御指摘の点 情報収集 分析 の あり よう を明らかにする こと にも なります し そもそも 第三 国 間の やり取り も 含 む 話 でありますので 我が国として こうした 公 の場で 明らかに することは 控え なければならない と考えます , 当時 四月 の 二十日 に 核実験 を行う という 通告 だった ということなんですが 四月 の 十四日 には 北朝鮮の 外 務 次官 が 最高 指導 部 が 決断 したとき 決断 した 場所 で 核実験 は 行われる だろう と言って おります し 核実験 の 場所 で いろんな 動き があった という 報道 もありました
まず 北朝鮮 をめぐる 情勢 につきましては これからも 大きな 関心を持って 情報収集 分析 に当たって いかなければ なりません , そこは 是非 御努力 をお願いしたいと思います
 ロ フ テ ッド 軌道 を含め 弾道ミサイル 攻撃 に対する 迎 撃 可能性 については 飛 来 する 弾道ミサイル の 性能 発射 地 点 着 弾 場所 等の 様々な 要因 によって 変化 するもの であること から 一概に お答え することは困難 ですが 現行の 迎 撃 ミサイル である S M 3 ブロック I A P A C 3 の 個別具体的な 性能 についても 我が国の 手 のうち を 明 か す ことになる ので お答えは差し控え させていただいております が その上で 弾道ミサイル 防衛 システム については 迎 撃 ミサイル を 組み合わせ た 多 層 防衛 により 我が国 に 飛 来 する 弾道ミサイル への 対処 能力 を 有 しておりますが 一般に ロ フ テ ッド 軌道 を取る こと により 迎 撃 を 回避 することを 企 図 して 発射 された 弾道ミサイル については 迎 撃 は より 困難 になる というふうに考えております , 相手 の 実験 に合わせて そんな わけではない んでしょう けど こちら が 強化 をしていく
まず 今 委員と 防衛大臣 と の 間 において 北朝鮮の 安全保障 上の 能力 についての やり取り がありました , 終わります
ありがとうございました , おはようございます
 政府 統一 見解 として 自衛隊 は 合 憲 だと考えております , 私も 合 憲 だと思っております し ほとんど の 委員 の方は 合 憲 だと 思っている はず です
まず 昨 今の 北朝鮮 の動向 を 見る 中で 我が国として 国民の命 や 暮らし を守るために もう 絶 え ず いかなる とき も 緊張 感 を持って 万全 の 態 勢 を 整え て おか なければならない まず これが 基本 だと思います , いかなる 事態 においても 万全 の 措置 をとる の は当然 です これだけ 緊 迫 している わけですから
 情報収集 分析 については 万全を期 して 努力を 続けて おります , でも 現実に は 四月 二十九日 に ミサイル を 発射 された んです
 国民の生命 財産 を 守り 抜 く ためには 国民 に対して 迅速 かつ 適切に 情報 伝達 を行うこと は 極めて重要 でありまして 政府としては ミサイル が 我が国 に 飛 来 する 可能性がある 場合には J ア ラ ート 等を 活用 し 直ちに 国民に 情報を 伝達 する ことといたしております , 我が国 に 飛 来 する 可能性 がなかった 判断 は何 を 根拠 に されました か
 事柄 の 性質 上 詳細 については コメントを 差し控えたいと思います が 防衛省 からの 情報 に基づきまして ミサイル が 我が国 に 飛 来 する 可能性 のある 場合には J ア ラ ート を活用して 直ちに 国民に 情報 伝達 する ことといたしております , 防衛省 は何 を 根拠 に 我が国 に 飛 来 する 可能性 がない ことを 察 知 した のか 答え られる 範囲で お答えください
 防衛省 としては ミサイル が 発射 された 場合には 一般に 早期 警戒 情報 及び 自衛隊の 各種 レーダー 情報 等 により 入手 した ミサイル 関連 情報 発射 時 刻 発射 場所 発射 方向 等を 内閣官房 に 逐 次 伝達 をしているところでございます , ありがとうございます
お答え申し上げます , じゃ 何 の 報道 で 事業者 は 判断 した んですか
 本来 事業者 は 先ほど申し上げました J ア ラ ート 又は エ ム ネット によって この 判断をする ことになっております , さっき テレビ の 報道 で 判断 した んじゃない と 言われた ん じゃ なかった の
済みません ちょっと 言い方 が 悪 かった の かもしれませんが これは テレビ の 報道 によって 判断を した ということでございます , いや さっき と 逆 の 御答弁 だ よ
先ほど来 本当に 御指摘 いただきまして ありがとうございます , 内閣 官房副長官 来 られて います ね
 国交省 等 関係省庁 と 協議 してまいりたいと思います , よろしくお願いします
今 委員が御指摘 になった 護 衛 艦 「 い ず も 」 と 「 さ ざ な み 」 が 五月 一日 から 三日 までの間 米軍 の 補給 艦 一 隻 と 共同 訓練 戦 術 運動 や 通信 訓練 等 を行った ところでございます , 共同 訓練 は した 米 艦 防護 の 新 任務 は 付与 した かどうか については 答えられない ということですね
お答え することは 差し控えたいと思います , 答えて いた だけ なくて しようがない んですけど 運用 指針 においては 米 艦 防護 の ときには アメリカ から の要請 がある 必要な 要件 になっています
 その点について も 差し控えたいと思います , 米 艦 防護 の 新 任務 を 付与 するに当たって NSC の 開催 が必要 ですが 当時 先ほど申し上げたように アメリカの 要請 も 答えられない
お答え申し上げます , じゃ 新 任務 なのか 共同 訓練 か よく 分かりません が この 前に NSC は 開かれ ています か
 米軍 等の 武器 等の 防護 に関する 個別具体的な 警護 の要請 実施 の状況 等 に関わる 内容について は NSC における 審議 の有無 を含め 事柄 の 性質 上 お答えを 差し控えさせていただきたい と考えております ということは 先ほど 御 答弁したとおり でございますが その上で 申し上げますと 本年 四月 以降 に 開催 されました 国家安全保障 会議 四 大臣 会合 のうち 四月 五日 四月 十三日 四月 十七日 四月 二十九日 の 会合 におきましては 北朝鮮 情勢 等について 議論が 行われております , NSC は 開かれ ている けど 要は 新 任務 について 米 艦 防護 について 議論 された かどうか については 答えられない という答弁 ですね
 特定秘密 に当たる 若しくは 省 秘 に当たる ということでございます , 特定秘密 に当たる って こんな に 報道 出ている んだ よ どう なっている の これ
まず 最初の 質問 が 米国の 現状 状況 についての御質問 ですが 米国 では 一 九九 四年 に 生物 多 様 性 条約 の 締結 に向けた 連 邦 議会 で の審議 を開始 し 上 院 外交 委員会 は 通 過 したもの の上 院 本会議 において 可決 に至ら なかった と承知をしております , ティ ラ ソ ン 国 務 長官 はまだ 在 任 期間 短い ですから まして や 気候変動 も トランプ 政権 は非常に 消 極 的 ですから どちらかというと やっぱり 前の オ バ マ 政権 のときに いかに やっぱり 働きかけ をしていただいて お きた かった という感じ がある ので そこは そう は いって も よろしくお願いしたいと思います
まず I U U 漁業 は 海洋 生物 資源 の 保存 と 持続可能な 利用 に対する 大きな 脅威 となって おり 我が国は 責任 ある 漁業 国として I U U 漁業 対策 の重要性 を 強く 認識しております , 済みません もう 終わります が 時間 なので
次に 福 山 哲 郎 君の質疑 を行います , おはようございます
私は この問題 が 国会で 議論 される よう になって そして 総理 夫 人が 籠 池 氏 との間で 百万円 の問題 とか そうしたこと が 寄附 した しない の お話がありました , ということは 谷 さん から 入手 をされた ということでよろしいですか
 そのとおり です , それは 官房長官 いつ のこと ですか
 一 週間 前 前後 だったと思います , 財務省 を始め 政府 はもう 面 談 記録 も含めて こと ごと く 廃棄 した と言って 何も 出てきて いない んですね
 福 山 哲 郎 君 , いや いや 昨日 の ファ ク ス を 官房長官 が 入手 をされた のは 一 週間 前 でよろしい ですね
その 全体の 話を 聞いた のは 一 週間 ぐらい 前 であって その後 そんなに 時間 た た ない で 入手 をしました , じゃ こういった 森友 関係の 面 談 記録 その他 については 財務省 は こと ごと く ない 国交省 も こと ごと く ないと 言われています
それは 谷 さん だけ かどうか 分かりません けれども 少なくとも 対 森友 に対して こういう 封 書 があって それについて このように 財務省 に 問合せ をして このように 答え ました ということは 私は そこ だけ 実は 報告 を得て いた ということです , それ 今 谷 さん だけ かどうか 分かりません って すごく 重要な 御答弁 で じゃ 谷 さん だけ なのか 森友 関係の こういったこと は ほかの 省庁 は どうなのか といって 官房長官 から 指示 を出して いただけません か
 福 山 哲 郎 君 , 他の 省庁 と もある か ない か 谷 さん だけ かと 聞いた ら それは 分かりません とおっしゃった ので だから 夫 人 と の ことは その 一回 だけ だということ は 理解 しました が その ことが 他の 省庁 もある のかどうか を 官房長官 から 確認 して 提出 を しろ というふうに 官房長官 から 御 指示 を いただけません かと お願いを しています
いや 私は 少なくとも この問題 があって 財務省 とか 国交省 から それは 話を 聞きました , 谷 さん はもう 今 内閣官房 官邸 に いない んですね
それは 谷 さん から です , 行政文書 に 当たらない なんて 聞いて いません
昨日 の 会見 において 当初 総理 夫 人 付き の メール ア ド レス や 電話 番号 等を 配付 したのは 事実 であります , いや これ 何か 我々が 国会 の審議 の中で 求め たら 出 せない と言って 何か 籠 池 証人 から 話 があった 途 端 こういう の を 黒 塗 り も しない で 記者 に ば ら ま く と
お答え申し上げます , 私 人 だから 逆に 言うと 一般的に は 職員 が 付 く ことは あり得ない と
お答えいたします , そうすると この 塚 本 幼稚園 の 園 長 に ファ ク ス を 送 った 行為 は当然 内閣総理大臣 夫 人 付き で 書いてあります し 昭 恵 夫 人 にも 既に 報告 させていただいております という 表現 があります
先ほど 申し上げましたとおり 御指摘 の職員 につきましては 総理 夫 人 による 総理の 公務 遂行 を 補助 する 活動 を 支援を するということが 主たる 業務 ということでございます , いや いや 公務 でしょう これは
御説明申し上げます , そういう 詭 弁 を 積み重ね る から この問題 は 複雑 化 して 説明 でき なくて 国民が 分からない となる んです
 御説明 させていただきます , じゃ 何で 昭 恵 夫 人に 報告 をした んですか
お答え申し上げます , 総理 夫 人 付き として 当然 の報告 というのは 職務 だから でしょう
お答え申し上げます , だから どこ の どこ が 答え た んだと 聞いている の 十年 定 借 と 五 十年 定 借
お答え申し上げます , 違う 違う
速記を起こして ください , いや いや 今 考えている 話を お聞き している んじゃない よ
お答え申し上げます , じゃ 谷 さんは それぞれの 部署 に 確認 をして この 文書 を 書いた ということですね
お答え申し上げます , だって 三 番 は 平成二十七年 五月 二十九日 付 国有財産 有 償 貸付 合意 書 第五条 これ 完全に 森友 のこと じゃないですか
お答え申し上げます , こうやって ね 何 というか うそ に うそ を 塗 り 固 める から 分 から なくなる んです
お答え申し上げます , もう 何を 言っている のか さ っ ぱ り 分からない ですよ
先ほど 答弁 したこと を もう一度 繰り返 して 丁寧に やります が 私ども 有 益 費 については 近畿財務局 と 大阪航空局 は ずっと 議論 しているわけです , あの ね 本当に 本当に こういう の を 無理 な 答弁 という んですよ
静粛に願います 全体 , いいですか これ 本当に ひどい 話 で この ことは 大 問題 なんです
静粛に願います , もう一つ 言います
済みません ちょっと 静かに していただきたいと思います , 公務 かどうか の定義 は ちゃんと ある んです
静粛に願います , 国民の皆さん に 御存じ を いただかないと 多分 分かりません けど 国民の皆さん は 昨日 それは 違う それは 違う と いろんな ところで 言って いても 何か 空 々 しく 聞こえ る はず なんですよ 片 っ 方は 証人 喚 問 なんだ から
 無理 ですよ という 答え を しているわけであります し また 局長 の方から お答え をしております ように ほか の方から 聞か れて も同じ 答え をし ますよ ということを申し上げているわけ でございます , いや 総理 も 微 妙 な 言い 回 し をしました
お答えいたします , つまり こういう 答え しかし ない から 参考人 は 意味 がない んです
お答え申し上げます , 何 回 ですか
お答え申し上げます , これ 一 々 数 えて ありません って また や じ が 飛 んだ んですね
お答え申し上げます , これ 事前 通告 しています
お答え申し上げます , その 方が 嶋 田 さ んですか
 担当 補佐 は 嶋 田 と申します , もう 十日 間 隠 れ ろ と言った 言わない といっても どう せ 否定 する から 余り そういう 答弁 しても 意味 が ないので 聞き ません が この 嶋 田 さん と 酒 井 弁護士 は 一体 どういう 頻 度 で やり 合って いました か 連絡 を
お答え申し上げます , かなり 頻 繁 に やっていた と
私ども 承知しておりません , そうすると 酒 井 弁護士 が い なくなった 後 は 全部 御本人 と やった ということですか
お答え申し上げます , ということは 酒 井 代理 人が 十日 隠 れ ろ みたいな 云々 の話 については 本当 かどうか 分かりません が そういう 可能性がある ということは 指摘を していきたいと思います し 武 内 さん にお伺いします
お答え申し上げます , 名誉 校 長 じゃない です
 講演 会 の話 も そんなに 知らなかった と思います , ごめんなさい 知らなかった と思います という 回答 は あり得ない んです
まず最初に 私は 知りません でした , こういう 答弁 になる わけですよ
済みません 先ほどの 報告 を受けた 件 でございますけれども 私は 管 財 部長 次長 から 報告を受けて おりました ものですから そういった 意味で 統括 官 の 名前 は 知らない というふうに 申し上げた ところでございます , 聞き 逃 した はない ですよ 時間も った いない
お答え申し上げます , 実は これも 常識 的に 言うと あり得ない んですね
もちろん 閣僚 の 任命 責任 は 私 にある わけでありますが その上で 稲田大臣 には 今まで 様々な 日報 等について の 御議論 があった わけでありますが 徹底 的な 調査 を行い 改 め るべき 点 があれば 大臣 の責任 において 徹底 的に 改善 をし そして 再発防止 を図ること によって その 責任を果た してもらいたい と このように考えております , 私は 最大の 問題は 虚偽 答弁 だと思います
 福 山 君 時間が 終わって おりますので まとめてください , は い もう 終わります
 福 山 君 まとめてください , 実は 配備 されて いません
 福 山 君 , 終わります
終わります , おはようございます
おっしゃるとおり です , 次に 少し 驚 いた く だ り がありました
おっしゃるとおり です , この 二十七年 の 十月 ということは 講演 で まあ 百万円 の 授 受 が 事実 かどうかは 僕は 分かりません が 講演 の 後の 直後 ですから 幼稚園 にも 行 か れた こと のある 総理大臣 夫 人 あっ 総理 夫 人 付き の方 というふうに認識 して よろしいですか
おっしゃるとおり です , 一応 今 西田 委員の ときに 私 確認した んですけど 確かに 経産省 から 谷 査 恵 子さん という 方が 内閣府 に 出向 している 記録 はある よう です もう しっかり 確認 しなければいけない と思いますが
そう でございます , これ 結構 重要な 問題 なんですね
 電話 をいたしました のは 私 であります , これ ただ ですね 電話 の やり取り も 残念ながら 証拠 が 残り ません
 いただいた ファ ク ス は 残って おります , この 谷 総理大臣 付き から 来た ファ ク ス が 残っている ということですか
おっしゃるとおり です , 内容について は 先ほどの 陳 述 ではありません でしたので この場で もし 内容について 紹介 できる もの があれば 紹介 いただければと思います が
そう させていただきます , いや 今 口 頭 で ちょっと どんな 内容 だった か 言って いただければ と思うんですが
 籠 池 証人 補佐 人は 委員長 の 許可 を求めて ください , 時間 時間 時間 時間
 内容 に いたしまして は ですね ちょうど 定期 借 地 が 終わり ました 契約 しました 頃 でありますので 買 受け 特 約 十年 が 付いて おりました , ということは 実際 安倍 昭 恵 夫 人に 御 連絡 を したら 谷 さん という 総理大臣 夫 人 付き から ファ ク ス で 返 事 が 来た ということですね
はい そのとおり です , その ファ ク ス 持って おられる ということ ならば どこか で 提示 を いただければと思います が 今日は お 持ち ではない ということなので
はい そう でございます , そうすると 名誉 校 長 で 総理大臣 夫 人 付き の 秘書官 秘書官 というか 夫 人 付き の方が 動 いた こと があるということは 非常に大きな こと だと 思い まして ちょっと 僕 も 面 食 ら って います が
 園 長 室 で ということが 正 解 であります , 実は その 娘 さんの インターネット 上の インタビュー とか ですと 安倍総理 から お金を もらい ました よ と言って 職員 の方に 持って いって みんな で 応援 をいただいた から 頑 張 ろう ね みたいな ことを 言い 合 った というような く だ り がある んですが ということは 幼稚園 の職員 さん も その 認識 は お あり というふうに思って いいですか
もちろん そうです , 十万円 を 講演 料 として 渡 した というお話 も そのときに あります
 十万円 の 講演 料 も もう 先に 用意 しておりました ので その 百万円 を いただく 前に 用意 しておりまして そして もう 御 講演 を 終 わ られて 帰 る ときに お 帰 り のときに お 渡し をいたしました , それは 御本人 にお 菓 子 の 袋 をお 渡し された わけです か
 え え と ね その辺 は 少し 記憶 が はっきり として おりませんので ちょっと 申し訳ございません , 今の 百万円 の 授 受 の件 も 十万円 の 講演 料 の件 も 昭 恵 夫 人 も 安倍総理 も 否定 を されています
 大 層 な すごく 私の 胸 のうち を 語 ら ないといけない んですが 当初 から 私は 安倍 晋 三 先生 に対して 敬 愛 以上の もの を持って おりました 保 守 の 人間 であります , それで 今の 時期 に 公 に された ということですね
その メール 自身 は 存在 しておりますので それを 見れば 分かる んですが 大体 二月 の 十八 以降 二十五日 ぐらい までの間 だと思います , これ かなり 頻 繁 に 籠 池 証人 の 妻 で いらっしゃる 方 と 副 園 長 かな 副 園 長 と 昭 恵 夫 人は メール の やり取り を や られている ということですか
 え え っと 確認 しました ら 二月 中 は 二十 二回 ほど で 三月 十五 六 回 は させていただいて いた というふうに思います , 二月 三月 というのは この問題 が 発 覚 して 非常に 注目 されている ところで こういう やり取り がある というのは ちょっと 実は 私も 驚 き なんですけど
 当初 私 と であった んですが やはり 家 内 の方 と 女性 同士 ということ なんでしょうか そのような 会 話 の方も 頻 繁 にある ということでございます , 実は 私は 残念ながら 先ほどの 陳 述 に あった 大阪府 議会 の 畠 先生 というのを 存 じ 上げ ません
 畠 成 章 先生 は 私が 住んで おります 淀 川 区 選出 の 府 会 議員 でございまして 中 山 正 暉 先生の 秘書 をされて 郵政 秘書 をされて それから 府 会 議員 に 転 じ られた という 方 ですが 私の 先 代 と 非常に じ っ こ ん でありまして 先 代 亡 く なり まして からも 私は じ っ こ ん に さ していただいた ということ なん でございます , その 熱心に 動いて いただいた 具体的な 何か 例示 ができる こういう ところで 動いて いただいた というふうな ものは ある のでしょうか
非常に 私どもの 教育 環境 に 賛同 していただいて おりました ので 大阪府 の 幹部 の お 役 人に 働きかけ を していただいた り 松 井 大阪府 知事 にも 働き を していただいた というふうに 記憶 しております , これ 実は 先ほど 西田 委員 は 大阪 の 審議会 が 財務 状況 が 悪い の に 認可 妥当 を 出した の が そもそも の問題 だという 類 い のことを 言われました
 私自身 はありません , ただ いきなり 例えば 東京 で 本省 の 理財局長 に 会 う と言って 出てきて 会 ったり ということが あるわけですね
 定期 借 地 の 後 大きな 生活 ごみ が出て まいりました ので その 間 定期 借 地 権 で 金額 を 決定 する の に もう かなり の 時間 掛 か りました , ということは 直接 や られていない と 近畿財務局 とか 先ほどの 国有地 の いろんな やり取り については 直接 や られていない という 場合に どなた が じゃ 近畿財務局 とか 大阪府 の 審議会 とか と 実際の 詳細 について いろんな 定期 借 地 とか いろんな 売買 契約 とか ある のは どなた が や られた んですか
 あっ 失礼 しました , それは 直接 や られた ということですね
はい そう でございます , その 近畿財務局 とか 大阪府 と の やり取り の中 直接 や られる 直接 や られる ときに 何らかの 政治家 が 直接 や られる ときに 何とか してほしい とか そういう 関与 が 事前 から あった というようなこと で お願いを したこと はありますか
 鴻 池 先生に この 近畿財務局 の 土地 が 見 付 か りました ときに お願いを しまして 御紹介 を 賜 り たい ということは させていただきました , 鴻 池 議員 は 実際 自分で おっしゃって おられます ので
 コン ニ ャ ク いわゆる 封 筒 の中身 ですが 三 万円 が 入った 角 何 という んですかね 大きな 型 紙 の中に 入った 商品 券 であります , なかなか に わ か に 信じ 難 い んですが それは 何 のために 持って いった んですか
 入院 の 入院 されて いました ので その お 見 舞 い をお 見 舞 い というか それも 兼 ね て ということでありますが そのときに こういうふうな 土地 の関係 は こういうふうな 方向 になっております というふうな 報告 は させていただいた ということであります , あっ ち こっち 話 が 飛 んで 本当に 申し訳ありません
もう一度 , 小学校 の 正 式 申請 の 前に 籠 池 証人 が 近畿財務局 や 大阪 や 航空 局 と や られた こと はありますか 事前 の 打 合 せ を
 小学校 の設置 申請 の 前 ですね , これは 実は 近畿財務局 は 余り はっきり 認めて いない んですね
 近畿財務局 と あの 一件 がありまして からも やり取り を しておりました , その 酒 井 もう 辞 め られた 方が いわゆる 近畿財務局 というか 嶋 田 さん でした っ け さっき 出た かな 嶋 田 さん から 言われた と 言われた わけです か
 財務省 の 嶋 田 さん から 言われた ということであります , だんだん 時間がなくなって きて もう あっ ち こっち 飛 んで 申し訳ありません が 稲田 朋 美 大臣 との関係 ですが 顧問 契約 は あった のか それから 法律 相談 を 直接 したこと は お あり か お答え いただけますか
 稲田 先生の ところ と 顧問 契約 を 結んで おりました , ああ そう ですか
はい それは ございません , まあ 実は 我々が 現地 に 入った ときに 言われた のは 小学校 の 校 舎 の問題 に対する 危機感 は 強く 言われて いました
はい , ありがとうございました
次に 福 山 哲 郎 君の質疑 を行います , 福 山 でございます
 質問 予 告 はない ですね , じゃ 国 交 大臣 いかがでしょうか
 ニュース で 報道 は 見 ましたけれども ちょっと 事実関係 が よく 分かりません ので 答弁は 控え たいと思います , 事前 通告 しようがない んです 財務大臣 昨日 の ことで
この 平成二十四年度 の 分 に関して ということだと思います が 平成二十四年度 の 表 彰 については 平成二十四年 九月 十三日 付け で 大阪府 から 推薦 を いただき というふうに 参議院の 委員会で 私が 申し上げましたけれども ここ を 訂正 させていただきます , じゃ 松 野 大臣 正直 に お答え いただいた ので 僕は 多 と したいと思います が その 表 彰 大臣の 大臣 名 は どなた ですか
 表 彰 式 は 平成二十五年 一月 二十八日 でございますので これは 政権 が 交 代 をして 下 村 大臣の 名前 で の 表 彰 状 になっている かと思いますが その 決定 を したのは 十月 十九日 ということでございます , 大臣 この プロセス の中身 について お答えください プロセス の中身 について
 申し訳ございません , ということなんですね
 福 山 君 文科大臣 が 手 を挙げて います が 答弁は 求め ますか , どうぞ
その 経緯 でございますが 私も その 場 に おりましたけれども 大西 議員 の方から この 表 彰 に関して 政権 において 行っている ではないか と , よく分からない
お答え申し上げます , 理財局長 私は 要望 書 など とは 一言 も 言って いません
お答え申し上げます , 済みません 資料 について 名前 何か 分からない って そんなこと あり得ない んですよ
お答え申し上げます , 買 受け の 要望 書 ではなくて 要望 書 の 提出 の際に 必要な 提出 資料 がある んです
お答え申し上げます , なぜ すぐ 出 せない んですか
 本件 に限らず 様々な 資料の 御 要求 いただいて ございます が それぞれ 開示 可能な のか 非 開示 情報 なのかということ については 今 順次 確認 をさせていただいている ところでございます , 本当に 不 誠 実 だと思いますよ
お答え申し上げます , 財務省 国交省 それぞれ 確認した んですね
お答え申し上げます , その 契約 書 の 日 付 は 確認 しています か
失礼いたしました , 国交省 もう一回 聞きます
お答え申し上げます , じゃ 部 下 に 確認 させてください
お答え申し上げます , ちょっと 不 誠 実 ですね
お答えいたします , 森友学園 は ホームページ で 現実 の 施工 状況 の 確認 のない まま 確認 のない まま というのは 国 ですよ 国 から 補助金 が 支払われ て しまった と さ も 国が 悪い ようなことを 言っています
お答えいたします , そうすると 現実 の 施工 状況 の 確認 のない まま ということは あり得ない と 国交省 は おっしゃる わけですね
 一般的に 補助金 全般 だと思いますけれども 今回 問題 になっています サ ス テ ナ ブル 補助金 につきましては 国が 勝手に その 補助金 を 払い 込む というようなこと は あり 得 ません , 彼 は 多く 申請 した 金額 を 返還 する つもり だった と
お答えいたします , それは 適正な 申請 をして そして きちっと 施工 したら たまたま 多 かった とか 少 なかった とか 評価 をする 話 でしょう
お答えいたします , 今 学校の 小学校 の 認可 の 申請 を 籠 池 理事長 が 取り 下げ て そして 理事長 を 辞任 した という 報道 が 流れ た というふうに 入って きた んですが この 事実関係 を 今 少し でも 把握している ニュース を 知っている 人 いらっしゃいます か
お答え申し上げます , じゃ それが 真 実 かどうか 分かりません が 仮 の話 として 学校の 小学校 の 認可 を この場で 取り 下げ た 場合には 今 やっている 工事 建物 これ どう なる んですか
済みません 事実関係 については ちょっと 真 相 が 明らか で ございませんので それについて 直接 は お答え は 申し上げ ません が 仮に 学校の 認可 が なくなる という前提で あります れば 前回 二十七年 の その 私 学 審 の 答申 を受けて 私ども 国 有 の 地方 審 を経て ああいう 了承 をいたしております ので その 前提 が 崩 れる 用 途 指定 の 前提 が 崩 れる ということでございます , そうすると 自 動 的に 買 戻 し ということになります ね
お答えします , これ 事実関係 分からない の に 私も 軽 々 な ことは 申し上げられません が 買 戻 し した場合 に 今度は その 建物 を 解体 どうするか それから その 土地 が 返 って きて も それは 元々 は 八億円 分の 土壌 汚染 とか 埋 設 物 が 取 られている 前提 ですけれども それが 取 られていない と その ことについて 国が どう 対応 するかということ も 求められる と思いますし 状況 が ひ ょ っと したら 変わって くる かもしれません ので 私も 余り 軽 々 には 物 は 言え ません が いずれにせよ 大変 もう 国民の 税金 が 入っている 問題 が非常に 混乱 をしている ことについては 非常に 遺憾 に 思っております
今 の件 に関しては 事前 通告 が できなかった というのは 認め ます , この問題 は まだまだ 先 が 続く と思いますし 理事長 の 辞任 の 意向 も どういう 意図 か も 分かりません し 一方で 不 透 明 な 手続 の数 々 については 変わらない と 私は 思っています ので この問題について は 引き続き やっていきたい と考えております
お答え申し上げます , 証言 は 財務省 が そのように 言った という 証言 になっております
次に 福 山 哲 郎 君の質疑 を行います , おはようございます
